img_path,question,answer
family/baldo/0_September_27_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5;4
family/baldo/1_July_17_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/2_November_26_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
family/baldo/3_June_04_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/4_July_07_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,4
family/baldo/5_December_28_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/6_June_13_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
family/baldo/7_November_30_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3;5
family/baldo/8_December_01_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/9_November_21_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/10_July_10_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/11_May_13_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,4
family/baldo/12_July_28_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
family/baldo/13_December_26_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
family/baldo/14_December_13_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/15_Feburary_16_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/16_October_23_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/17_December_27_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/18_October_19_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/19_August_23_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
family/baldo/20_September_01_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
family/baldo/21_October_06_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
family/baldo/22_October_31_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
family/baldo/23_December_23_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
family/baldo/24_July_20_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/25_Janurary_05_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/26_July_22_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,4
family/baldo/27_November_25_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2;3;4
family/baldo/28_Feburary_25_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/29_December_10_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/30_December_02_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/31_August_14_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/32_December_09_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/33_June_29_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
family/baldo/34_November_11_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/35_November_18_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
family/baldo/36_December_25_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,4
family/baldo/37_October_30_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
family/baldo/38_June_12_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
family/baldo/39_November_29_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,4
family/baldo/40_September_06_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/41_December_16_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/42_August_10_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/43_October_22_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/44_October_02_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/45_September_07_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,4
family/baldo/46_August_12_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/47_October_21_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,4;3
family/baldo/48_December_18_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
family/baldo/49_September_10_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/50_October_01_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/51_October_17_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
family/baldo/52_September_02_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
family/baldo/53_November_28_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
family/baldo/54_March_14_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
family/baldo/55_September_30_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
family/baldo/56_September_16_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5;3;4
family/baldo/57_November_04_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,4
family/baldo/58_June_10_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
family/baldo/59_July_12_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,4
